Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(test.py:10108): Gdk-CRITICAL **: 13:42:03.482: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
(5_w,11)-aCMA-ES (mu_w=3.4,w_1=42%) in dimension 11 (seed=994592, Tue Jul 28 13:42:03 2020)
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     11 9.324567913144692e-02 1.0e+00 1.02e+00  1e+00  1e+00 0:02.5
    2     22 3.501447537802831e-01 1.2e+00 1.01e+00  1e+00  1e+00 0:05.0
    3     33 1.823463663414636e-01 1.3e+00 9.78e-01  9e-01  1e+00 0:07.2
    5     55 3.721168355806705e-01 1.4e+00 8.77e-01  8e-01  1e+00 0:11.4
    7     77 5.005121639646273e-01 1.5e+00 8.35e-01  8e-01  9e-01 0:16.6
   10    110 4.723618201364013e-01 1.7e+00 9.79e-01  9e-01  1e+00 0:22.9
   13    143 3.349603371439219e-01 2.0e+00 1.13e+00  1e+00  1e+00 0:30.3
   17    187 5.233708941193623e-01 2.2e+00 1.09e+00  1e+00  1e+00 0:39.1
   21    231 5.165153011862768e-01 2.3e+00 1.12e+00  1e+00  1e+00 0:47.6
   26    286 1.885240681679276e-02 2.3e+00 1.01e+00  9e-01  1e+00 0:58.0
   31    341 2.725647828090689e-01 2.6e+00 1.26e+00  1e+00  2e+00 1:08.9
   37    407 3.847649992219108e-02 2.7e+00 1.38e+00  1e+00  2e+00 1:21.6
   43    473 3.498864258480558e-01 2.7e+00 1.33e+00  1e+00  2e+00 1:34.7
   50    550 1.545479146667270e-01 2.8e+00 1.06e+00  8e-01  1e+00 1:49.2
   57    627 1.437230242253228e-01 3.2e+00 8.81e-01  6e-01  1e+00 2:03.8
   65    715 3.586434016961660e-01 3.2e+00 7.16e-01  5e-01  9e-01 2:19.8
   74    814 6.369339253644404e-02 3.1e+00 5.27e-01  4e-01  6e-01 2:37.6
   83    913 4.347293442539054e-02 3.0e+00 3.22e-01  2e-01  4e-01 2:56.2
   92   1012 4.000088436333128e-02 3.4e+00 2.46e-01  2e-01  3e-01 3:14.6
  100   1100 2.210486349271862e-02 3.8e+00 2.01e-01  1e-01  2e-01 3:30.7
  110   1210 1.829234595802215e-02 5.5e+00 1.53e-01  8e-02  1e-01 3:51.0
  121   1331 1.427445575831449e-02 7.3e+00 1.13e-01  7e-02  1e-01 4:13.4
  132   1452 5.297330824143839e-03 1.1e+01 1.35e-01  8e-02  1e-01 4:35.7
  144   1584 2.273368798372624e-03 1.1e+01 1.29e-01  7e-02  1e-01 4:59.4
  156   1716 1.757785898143503e-03 1.2e+01 1.46e-01  7e-02  1e-01 5:24.6
  169   1859 1.467651064463773e-03 1.4e+01 7.15e-02  3e-02  7e-02 5:51.4
  182   2002 1.466107773503179e-03 1.5e+01 4.55e-02  2e-02  4e-02 6:18.4
  196   2156 1.434679417057477e-03 1.8e+01 3.22e-02  1e-02  3e-02 6:47.1
  200   2200 1.434445580423873e-03 1.9e+01 2.71e-02  1e-02  2e-02 6:55.6
  215   2365 1.429422815194719e-03 2.4e+01 2.06e-02  8e-03  2e-02 7:26.2
  230   2530 1.426169737713225e-03 2.9e+01 1.74e-02  6e-03  1e-02 7:56.4
  246   2706 1.422446743509761e-03 3.2e+01 1.50e-02  5e-03  1e-02 8:28.3
  262   2882 1.414065865762279e-03 5.3e+01 3.02e-02  1e-02  4e-02 9:01.1
  278   3058 1.413074229450894e-03 7.4e+01 5.05e-02  2e-02  8e-02 9:34.3
  295   3245 1.402488977076584e-03 8.3e+01 3.36e-02  1e-02  5e-02 10:09.5
  300   3300 1.403319944418159e-03 7.9e+01 3.70e-02  1e-02  5e-02 10:19.7
  318   3498 1.389446749160936e-03 8.0e+01 3.08e-02  8e-03  4e-02 10:55.9
  339   3729 1.380122441259265e-03 8.1e+01 2.77e-02  6e-03  4e-02 11:33.4
  359   3949 1.368883912204165e-03 9.0e+01 5.14e-02  1e-02  7e-02 12:12.5
  379   4169 1.356205794655901e-03 7.2e+01 4.64e-02  7e-03  5e-02 12:52.6
  400   4400 1.338797000815770e-03 7.9e+01 5.03e-02  7e-03  4e-02 13:33.7
  422   4642 1.310378620396760e-03 7.9e+01 5.92e-02  7e-03  4e-02 14:16.7
  443   4873 1.259300247244275e-03 7.7e+01 8.64e-02  1e-02  4e-02 14:58.8
  468   5148 1.167559652831192e-03 8.1e+01 1.00e-01  1e-02  5e-02 15:42.3
  492   5412 8.484336952199969e-04 9.2e+01 1.94e-01  2e-02  1e-01 16:27.0
  500   5500 6.670346151149702e-04 8.0e+01 1.59e-01  2e-02  8e-02 16:38.8
  526   5786 4.493045475810201e-04 9.1e+01 1.63e-01  2e-02  9e-02 17:26.1
  551   6061 3.835462039495797e-04 6.3e+01 1.14e-01  1e-02  5e-02 18:14.0
  576   6336 3.386206423462391e-04 5.8e+01 1.30e-01  9e-03  5e-02 19:02.7
  600   6600 3.217448686967997e-04 5.3e+01 7.48e-02  4e-03  3e-02 19:48.7
  626   6886 3.131644876032327e-04 5.4e+01 9.74e-02  4e-03  3e-02 20:39.9
  654   7194 2.967812591656360e-04 7.4e+01 2.14e-01  7e-03  5e-02 21:31.2
  681   7491 2.832928646478945e-04 1.0e+02 1.35e-01  4e-03  3e-02 22:23.5
  700   7700 2.812888556772708e-04 8.9e+01 1.00e-01  3e-03  2e-02 22:59.0
  728   8008 2.796348686951103e-04 9.4e+01 8.54e-02  2e-03  2e-02 23:53.7
  761   8371 2.762600270009627e-04 1.1e+02 1.10e-01  3e-03  2e-02 24:49.8
  790   8690 2.731077515060993e-04 1.1e+02 1.47e-01  3e-03  2e-02 25:46.4
  800   8800 2.710599989313750e-04 1.2e+02 4.24e-01  1e-02  7e-02 26:06.3
  829   9119 2.665115624926414e-04 1.1e+02 1.73e-01  3e-03  2e-02 27:04.5
  860   9460 2.629251303516977e-04 1.3e+02 2.17e-01  3e-03  3e-02 28:05.2
  892   9812 2.624223952322798e-04 1.3e+02 6.97e-02  1e-03  7e-03 29:06.3
  900   9900 2.624226544513625e-04 1.5e+02 5.85e-02  9e-04  6e-03 29:22.3
  910  10010 2.623816833058434e-04 1.4e+02 5.06e-02  8e-04  5e-03 29:42.0
termination on maxfevals=10000.0 (Tue Jul 28 14:11:48 2020)
final/bestever f-value = 2.623750e-04 2.623750e-04
incumbent solution: [ 0.04359769 -2.10236612 -1.45064433 -3.07279185  5.95884531  1.70665031
  4.31051957  8.6651811  ...]
std deviations: [0.00255162 0.00080584 0.00080772 0.00211392 0.00117451 0.0013261
 0.00495318 0.00101405 ...]
(0.00026237496672566307, array([ 0.04359769, -2.10236612, -1.45064433, -3.07279185,  5.95884531,
        1.70665031,  4.31051957,  8.6651811 ,  2.4703985 ,  2.62409664,
        6.19068083]))
