Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(test.py:10109): Gdk-CRITICAL **: 13:42:02.792: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
(5_w,11)-aCMA-ES (mu_w=3.4,w_1=42%) in dimension 14 (seed=1112172, Tue Jul 28 13:42:02 2020)
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
  626   6886 1.043460545689805e-03 2.9e+02 4.82e-02  1e-02  7e-02 24:45.6
  650   7150 9.365721377074530e-04 2.3e+02 9.74e-02  2e-02  1e-01 25:43.5
  675   7425 6.274307314556430e-04 1.9e+02 1.03e-01  2e-02  1e-01 26:41.5
  699   7689 3.788270341542183e-04 1.5e+02 8.64e-02  2e-02  6e-02 27:40.1
  700   7700 4.072110894941504e-04 1.5e+02 8.18e-02  2e-02  6e-02 27:42.4
  725   7975 3.040226683436382e-04 1.2e+02 6.11e-02  1e-02  3e-02 28:42.9
  750   8250 2.907781679624794e-04 1.3e+02 8.74e-02  1e-02  5e-02 29:44.0
  777   8547 2.793430431586422e-04 1.1e+02 4.68e-02  7e-03  2e-02 30:47.9
  800   8800 2.739994207237425e-04 1.2e+02 2.81e-02  4e-03  1e-02 31:40.1
  830   9130 2.732301654016275e-04 1.3e+02 1.71e-02  2e-03  8e-03 32:44.5
  859   9449 2.724269805762152e-04 1.5e+02 2.00e-02  3e-03  1e-02 33:50.8
  890   9790 2.701328182649410e-04 2.2e+02 4.44e-02  6e-03  3e-02 34:57.5
  900   9900 2.695427094753465e-04 2.4e+02 4.23e-02  5e-03  3e-02 35:21.3
  910  10010 2.690209978704526e-04 2.4e+02 3.07e-02  3e-03  2e-02 35:44.3
termination on maxfevals=10000.0 (Tue Jul 28 14:17:50 2020)
final/bestever f-value = 2.689928e-04 2.689928e-04
incumbent solution: [ 2.26252725  3.20002031  2.90128197  0.61883552  2.2402491  -1.28541479
 -1.88040642  1.81313685 ...]
std deviations: [0.02298424 0.00754894 0.00348342 0.01666691 0.01191788 0.00418935
 0.01340237 0.00739999 ...]
(0.00026899275393923815, array([ 2.26252725,  3.20002031,  2.90128197,  0.61883552,  2.2402491 ,
       -1.28541479, -1.88040642,  1.81313685,  1.8415695 , -3.87706533,
       -2.33567023, -0.90134028,  1.80729683,  4.15753357]))
