num acquisition: 1, time elapsed: 1.54s
num acquisition: 2, time elapsed: 4.10s
num acquisition: 3, time elapsed: 7.50s
num acquisition: 4, time elapsed: 11.45s
num acquisition: 5, time elapsed: 17.15s
num acquisition: 6, time elapsed: 23.10s
num acquisition: 7, time elapsed: 28.51s
num acquisition: 8, time elapsed: 33.28s
num acquisition: 9, time elapsed: 37.59s
num acquisition: 10, time elapsed: 42.63s
num acquisition: 11, time elapsed: 47.68s
num acquisition: 12, time elapsed: 52.13s
num acquisition: 13, time elapsed: 56.52s
num acquisition: 14, time elapsed: 62.12s
num acquisition: 15, time elapsed: 67.05s
num acquisition: 16, time elapsed: 73.80s
num acquisition: 17, time elapsed: 79.46s
num acquisition: 18, time elapsed: 85.40s
num acquisition: 19, time elapsed: 93.58s
num acquisition: 20, time elapsed: 101.04s
num acquisition: 21, time elapsed: 108.90s
num acquisition: 22, time elapsed: 116.08s
num acquisition: 23, time elapsed: 123.59s
num acquisition: 24, time elapsed: 130.57s
num acquisition: 25, time elapsed: 138.75s
num acquisition: 26, time elapsed: 144.55s
num acquisition: 27, time elapsed: 152.19s
num acquisition: 28, time elapsed: 161.53s
num acquisition: 29, time elapsed: 173.27s
num acquisition: 30, time elapsed: 185.75s
num acquisition: 31, time elapsed: 195.70s
num acquisition: 32, time elapsed: 203.37s
num acquisition: 33, time elapsed: 212.50s
num acquisition: 34, time elapsed: 222.21s
num acquisition: 35, time elapsed: 233.64s
num acquisition: 36, time elapsed: 243.23s
num acquisition: 37, time elapsed: 252.12s
num acquisition: 38, time elapsed: 261.99s
num acquisition: 39, time elapsed: 272.42s
num acquisition: 40, time elapsed: 284.26s
num acquisition: 41, time elapsed: 295.45s
num acquisition: 42, time elapsed: 306.18s
num acquisition: 43, time elapsed: 316.64s
num acquisition: 44, time elapsed: 326.87s
num acquisition: 45, time elapsed: 336.64s
num acquisition: 46, time elapsed: 349.71s
num acquisition: 47, time elapsed: 362.12s
num acquisition: 48, time elapsed: 371.46s
num acquisition: 49, time elapsed: 389.71s
num acquisition: 50, time elapsed: 405.57s
num acquisition: 51, time elapsed: 417.83s
num acquisition: 52, time elapsed: 431.23s
num acquisition: 53, time elapsed: 442.13s
num acquisition: 54, time elapsed: 719.62s
num acquisition: 55, time elapsed: 1002.26s
num acquisition: 56, time elapsed: 1260.19s
num acquisition: 57, time elapsed: 1487.65s
num acquisition: 58, time elapsed: 1496.02s
num acquisition: 59, time elapsed: 1503.71s
num acquisition: 60, time elapsed: 1511.88s
num acquisition: 61, time elapsed: 1521.17s
num acquisition: 62, time elapsed: 1716.80s
num acquisition: 63, time elapsed: 1896.44s
num acquisition: 64, time elapsed: 2060.66s
num acquisition: 65, time elapsed: 2257.86s
num acquisition: 66, time elapsed: 2436.90s
num acquisition: 67, time elapsed: 2632.74s
num acquisition: 68, time elapsed: 2827.38s
(0.17472781871927534, array([ 3.28478403, -4.3067404 ,  8.69335558,  8.67646526, -5.98531769,
        0.42245167, -8.86027518,  6.23398187, -6.10045709,  5.97242616,
        8.77640623]))
