Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(test.py:10112): Gdk-CRITICAL **: 13:42:03.157: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
(6_w,13)-aCMA-ES (mu_w=4.0,w_1=38%) in dimension 23 (seed=980786, Tue Jul 28 13:42:03 2020)
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     13 3.887927169058129e-01 1.0e+00 9.24e-01  9e-01  9e-01 0:05.4
    2     26 1.217266775005404e-01 1.1e+00 8.97e-01  9e-01  9e-01 0:10.9
    3     39 1.276177581668833e-01 1.1e+00 8.77e-01  9e-01  9e-01 0:16.0
    4     52 3.267410786679392e-02 1.2e+00 8.65e-01  8e-01  9e-01 0:21.5
    5     65 1.507382754943915e-01 1.2e+00 8.71e-01  8e-01  9e-01 0:26.8
    7     91 2.058300454827337e-01 1.2e+00 8.22e-01  8e-01  8e-01 0:36.4
    9    117 2.359552839336354e-01 1.3e+00 7.81e-01  8e-01  8e-01 0:46.2
   11    143 7.355351972588971e-02 1.3e+00 7.36e-01  7e-01  8e-01 0:55.1
   13    169 2.786085392208146e-01 1.3e+00 6.86e-01  7e-01  7e-01 1:05.1
   15    195 1.409275611454884e-01 1.3e+00 6.52e-01  6e-01  7e-01 1:15.1
   18    234 1.679721621403875e-01 1.3e+00 6.05e-01  6e-01  6e-01 1:29.1
   21    273 4.716247969280084e-02 1.4e+00 5.55e-01  5e-01  6e-01 1:43.4
   24    312 7.187927240265403e-02 1.4e+00 5.07e-01  5e-01  5e-01 1:56.9
   27    351 4.317499415399182e-02 1.4e+00 5.17e-01  5e-01  6e-01 2:10.2
   31    403 2.294595268860492e-01 1.5e+00 4.98e-01  5e-01  5e-01 2:28.6
   35    455 3.792130244602136e-02 1.6e+00 4.71e-01  4e-01  5e-01 2:47.1
   39    507 1.014812240273405e-02 1.6e+00 4.27e-01  4e-01  5e-01 3:04.6
   43    559 3.181250257863437e-02 1.6e+00 3.95e-01  4e-01  4e-01 3:21.9
   47    611 3.747170241316435e-02 1.6e+00 3.54e-01  3e-01  4e-01 3:40.0
   52    676 5.841045377946479e-02 1.7e+00 3.00e-01  3e-01  3e-01 4:02.6
   57    741 1.625420086450884e-02 1.9e+00 2.63e-01  2e-01  3e-01 4:24.9
   62    806 2.904139743926514e-02 2.0e+00 2.27e-01  2e-01  2e-01 4:47.6
   67    871 5.049372295758790e-03 2.1e+00 2.07e-01  2e-01  2e-01 5:10.3
   73    949 2.037249790182202e-02 2.2e+00 1.83e-01  2e-01  2e-01 5:37.5
   79   1027 1.281055202701276e-02 2.3e+00 1.86e-01  2e-01  2e-01 6:04.7
   85   1105 1.625013860114015e-02 2.3e+00 2.02e-01  2e-01  2e-01 6:32.2
