Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(test.py:10107): Gdk-CRITICAL **: 13:42:03.001: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
(5_w,10)-aCMA-ES (mu_w=3.2,w_1=45%) in dimension 8 (seed=946312, Tue Jul 28 13:42:03 2020)
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     10 1.990613150374620e-01 1.0e+00 1.04e+00  1e+00  1e+00 0:01.8
    2     20 4.503288085332030e-01 1.3e+00 9.78e-01  9e-01  1e+00 0:03.5
    3     30 4.205597946956572e-01 1.3e+00 8.66e-01  8e-01  1e+00 0:05.7
    5     50 2.431123965314628e-01 1.5e+00 7.40e-01  7e-01  8e-01 0:08.9
    8     80 8.125877724024214e-02 1.6e+00 5.46e-01  5e-01  6e-01 0:14.0
   12    120 9.304517024058175e-02 1.9e+00 5.35e-01  4e-01  6e-01 0:20.0
   16    160 3.662241067297333e-02 2.3e+00 4.87e-01  4e-01  5e-01 0:26.3
   21    210 3.542201023128138e-02 3.1e+00 4.34e-01  3e-01  5e-01 0:33.7
   27    270 4.141725321813684e-02 4.3e+00 4.55e-01  3e-01  5e-01 0:42.8
   34    340 1.989600200423025e-02 6.5e+00 2.47e-01  2e-01  3e-01 0:52.8
   41    410 2.465038141849132e-02 8.9e+00 1.89e-01  1e-01  2e-01 1:03.3
   48    480 2.179528892025200e-02 1.3e+01 1.58e-01  1e-01  2e-01 1:14.7
   57    570 8.278008752934031e-03 1.9e+01 2.09e-01  1e-01  3e-01 1:27.8
   66    660 3.385680031342423e-03 1.8e+01 1.76e-01  1e-01  2e-01 1:41.0
   76    760 3.015235032800432e-03 1.5e+01 1.18e-01  6e-02  1e-01 1:55.8
   87    870 1.907029671171775e-03 1.5e+01 1.81e-01  8e-02  2e-01 2:11.1
   99    990 1.720080965645436e-03 1.5e+01 6.35e-02  3e-02  6e-02 2:27.4
  100   1000 1.686224990616399e-03 1.4e+01 6.61e-02  3e-02  6e-02 2:28.8
  113   1130 1.574182544894942e-03 1.9e+01 4.78e-02  2e-02  5e-02 2:47.4
  127   1270 1.538454690635507e-03 2.5e+01 2.51e-02  9e-03  2e-02 3:07.8
  142   1420 1.517232675335647e-03 3.5e+01 4.60e-02  2e-02  3e-02 3:29.1
  157   1570 1.488357776808352e-03 3.2e+01 7.35e-02  2e-02  4e-02 3:51.0
  172   1720 1.463786811723362e-03 3.9e+01 4.47e-02  1e-02  3e-02 4:13.0
  188   1880 1.455723435338653e-03 3.8e+01 5.65e-02  1e-02  3e-02 4:36.1
  200   2000 1.448517345109815e-03 3.9e+01 7.28e-02  2e-02  3e-02 4:52.8
  217   2170 1.445254851525220e-03 5.6e+01 3.55e-02  7e-03  1e-02 5:17.8
  236   2360 1.441191247216288e-03 7.4e+01 5.60e-02  9e-03  2e-02 5:45.2
  255   2550 1.439586664357113e-03 8.0e+01 3.47e-02  5e-03  1e-02 6:12.7
  274   2740 1.438473065295437e-03 7.5e+01 5.48e-02  6e-03  2e-02 6:40.9
  295   2950 1.437323973707580e-03 8.2e+01 5.53e-02  5e-03  2e-02 7:11.0
  300   3000 1.436920622603248e-03 8.0e+01 5.98e-02  5e-03  2e-02 7:18.3
  321   3210 1.436191908121259e-03 8.7e+01 2.98e-02  2e-03  6e-03 7:49.4
  344   3440 1.435974126118922e-03 9.1e+01 2.54e-02  1e-03  5e-03 8:22.7
  367   3670 1.435938214955758e-03 1.2e+02 1.25e-02  5e-04  2e-03 8:56.2
  390   3900 1.435934841605382e-03 1.7e+02 1.94e-03  5e-05  3e-04 9:30.3
  400   4000 1.435934765246533e-03 1.9e+02 1.33e-03  4e-05  2e-04 9:44.7
  426   4260 1.435934759349953e-03 1.9e+02 2.42e-04  5e-06  3e-05 10:21.8
  432   4320 1.435934759246959e-03 2.0e+02 1.68e-04  3e-06  2e-05 10:30.2
termination on tolfun=1e-11 (Tue Jul 28 13:52:34 2020)
final/bestever f-value = 1.435935e-03 1.435935e-03
incumbent solution: [1.3802416475827484, -0.7686953014973734, 4.337934620362905, 2.126791808537032, 1.6663838619043174, -1.0554865817387187, 0.4239451426882237, -1.5313425344120155]
std deviation: [6.6346244621550316e-06, 3.2263554468982735e-06, 3.499451120349858e-06, 1.2478499367440966e-05, 1.6037174541735024e-05, 4.653136919943873e-06, 9.547459163758244e-06, 1.1809046209173764e-05]
(0.0014359347591890062, array([ 1.38024165, -0.7686953 ,  4.33793462,  2.12679181,  1.66638386,
       -1.05548658,  0.42394514, -1.53134253]))
