num acquisition: 1, time elapsed: 2.04s
num acquisition: 2, time elapsed: 4.55s
num acquisition: 3, time elapsed: 6.88s
num acquisition: 4, time elapsed: 9.71s
num acquisition: 5, time elapsed: 14.16s
num acquisition: 6, time elapsed: 17.85s
num acquisition: 7, time elapsed: 20.74s
num acquisition: 8, time elapsed: 25.54s
num acquisition: 9, time elapsed: 29.72s
num acquisition: 10, time elapsed: 34.34s
num acquisition: 11, time elapsed: 39.97s
num acquisition: 12, time elapsed: 45.75s
num acquisition: 13, time elapsed: 52.40s
num acquisition: 14, time elapsed: 59.38s
num acquisition: 15, time elapsed: 65.10s
num acquisition: 16, time elapsed: 71.02s
num acquisition: 17, time elapsed: 76.62s
num acquisition: 18, time elapsed: 83.97s
num acquisition: 19, time elapsed: 88.71s
num acquisition: 20, time elapsed: 94.17s
num acquisition: 21, time elapsed: 101.26s
num acquisition: 22, time elapsed: 108.79s
num acquisition: 23, time elapsed: 116.60s
num acquisition: 24, time elapsed: 121.92s
num acquisition: 25, time elapsed: 129.12s
num acquisition: 26, time elapsed: 138.07s
num acquisition: 27, time elapsed: 147.37s
num acquisition: 28, time elapsed: 155.28s
num acquisition: 29, time elapsed: 167.29s
num acquisition: 30, time elapsed: 177.97s
num acquisition: 31, time elapsed: 187.91s
num acquisition: 32, time elapsed: 199.32s
num acquisition: 33, time elapsed: 209.36s
num acquisition: 34, time elapsed: 220.56s
num acquisition: 35, time elapsed: 231.36s
num acquisition: 36, time elapsed: 241.38s
num acquisition: 37, time elapsed: 250.46s
num acquisition: 38, time elapsed: 262.06s
num acquisition: 39, time elapsed: 272.45s
num acquisition: 40, time elapsed: 282.05s
num acquisition: 41, time elapsed: 292.88s
num acquisition: 42, time elapsed: 303.28s
num acquisition: 43, time elapsed: 315.84s
num acquisition: 44, time elapsed: 328.82s
num acquisition: 45, time elapsed: 342.49s
num acquisition: 46, time elapsed: 353.90s
num acquisition: 47, time elapsed: 365.86s
num acquisition: 48, time elapsed: 375.75s
num acquisition: 49, time elapsed: 388.50s
num acquisition: 50, time elapsed: 734.01s
num acquisition: 51, time elapsed: 1101.53s
(0.16725960614904786, array([-6.98816808, -8.02043925, -6.23795124,  9.22073397, -6.48030058,
        8.86075838, -7.99736341, -3.07602181, -8.24556343,  0.01183042,
       -9.23432326,  0.82225457, -8.57660154,  3.14238824]))
