Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(test.py:10110): Gdk-CRITICAL **: 13:42:03.065: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
(6_w,12)-aCMA-ES (mu_w=3.7,w_1=40%) in dimension 17 (seed=1016578, Tue Jul 28 13:42:03 2020)
Iterat #Fevals   function value  axis ratio  sigma  min&max std  t[m:s]
    1     12 6.173462101697659e-01 1.0e+00 9.54e-01  9e-01  1e+00 0:03.4
    2     24 2.235188130267464e-01 1.2e+00 9.20e-01  9e-01  9e-01 0:07.8
    3     36 3.928009656715695e-01 1.2e+00 8.98e-01  9e-01  9e-01 0:11.7
    4     48 2.555919076302062e-01 1.2e+00 8.82e-01  8e-01  9e-01 0:15.3
    5     60 2.274894914561678e-01 1.2e+00 8.76e-01  8e-01  9e-01 0:20.0
    7     84 4.605802794834103e-02 1.3e+00 8.51e-01  8e-01  9e-01 0:27.5
    9    108 3.792248032135136e-02 1.4e+00 7.73e-01  7e-01  8e-01 0:34.4
   12    144 3.929605294425042e-01 1.4e+00 7.17e-01  7e-01  8e-01 0:44.1
   15    180 1.233612171273576e-01 1.4e+00 7.07e-01  7e-01  8e-01 0:54.2
   18    216 1.646508895222028e-01 1.5e+00 7.56e-01  7e-01  8e-01 1:04.0
   22    264 3.347009685266225e-01 1.6e+00 8.09e-01  8e-01  9e-01 1:17.1
   26    312 5.219083601789460e-02 1.7e+00 8.88e-01  8e-01  1e+00 1:31.1
   30    360 1.843308779477204e-01 1.7e+00 8.14e-01  8e-01  9e-01 1:44.0
   35    420 5.021864509890112e-02 1.8e+00 8.28e-01  8e-01  9e-01 1:59.7
   40    480 2.410598374057026e-01 1.9e+00 7.58e-01  7e-01  9e-01 2:15.7
   45    540 4.986281743080190e-01 1.9e+00 7.18e-01  6e-01  8e-01 2:31.1
   51    612 1.814768831559292e-01 2.1e+00 7.65e-01  7e-01  8e-01 2:50.1
   57    684 6.222027126444794e-02 2.2e+00 6.34e-01  5e-01  7e-01 3:10.2
   63    756 7.867055702469808e-02 2.3e+00 6.09e-01  5e-01  7e-01 3:29.8
   69    828 5.054286738305214e-02 2.4e+00 4.49e-01  4e-01  5e-01 3:49.7
   76    912 4.555581605955774e-02 2.4e+00 3.55e-01  3e-01  4e-01 4:12.9
