num acquisition: 1, time elapsed: 1.79s
num acquisition: 2, time elapsed: 4.42s
num acquisition: 3, time elapsed: 7.66s
num acquisition: 4, time elapsed: 10.45s
num acquisition: 5, time elapsed: 14.03s
num acquisition: 6, time elapsed: 82.95s
num acquisition: 7, time elapsed: 91.46s
num acquisition: 8, time elapsed: 99.69s
num acquisition: 9, time elapsed: 103.10s
num acquisition: 10, time elapsed: 111.07s
num acquisition: 11, time elapsed: 121.43s
num acquisition: 12, time elapsed: 131.24s
num acquisition: 13, time elapsed: 143.42s
num acquisition: 14, time elapsed: 150.58s
num acquisition: 15, time elapsed: 167.69s
num acquisition: 16, time elapsed: 177.25s
num acquisition: 17, time elapsed: 188.25s
num acquisition: 18, time elapsed: 198.01s
num acquisition: 19, time elapsed: 213.54s
num acquisition: 20, time elapsed: 222.72s
num acquisition: 21, time elapsed: 233.56s
num acquisition: 22, time elapsed: 242.22s
num acquisition: 23, time elapsed: 255.32s
num acquisition: 24, time elapsed: 268.65s
num acquisition: 25, time elapsed: 286.20s
num acquisition: 26, time elapsed: 299.56s
num acquisition: 27, time elapsed: 322.98s
num acquisition: 28, time elapsed: 337.33s
num acquisition: 29, time elapsed: 357.92s
num acquisition: 30, time elapsed: 384.85s
num acquisition: 31, time elapsed: 415.60s
num acquisition: 32, time elapsed: 432.48s
num acquisition: 33, time elapsed: 452.23s
num acquisition: 34, time elapsed: 463.92s
num acquisition: 35, time elapsed: 482.41s
num acquisition: 36, time elapsed: 515.88s
num acquisition: 37, time elapsed: 543.16s
num acquisition: 38, time elapsed: 579.57s
num acquisition: 39, time elapsed: 616.85s
num acquisition: 40, time elapsed: 647.39s
num acquisition: 41, time elapsed: 674.67s
num acquisition: 42, time elapsed: 695.37s
num acquisition: 43, time elapsed: 719.29s
num acquisition: 44, time elapsed: 740.73s
num acquisition: 45, time elapsed: 761.77s
num acquisition: 46, time elapsed: 782.08s
num acquisition: 47, time elapsed: 795.89s
num acquisition: 48, time elapsed: 833.31s
num acquisition: 49, time elapsed: 859.72s
num acquisition: 50, time elapsed: 882.82s
num acquisition: 51, time elapsed: 1134.02s
num acquisition: 52, time elapsed: 1158.02s
num acquisition: 53, time elapsed: 1173.30s
num acquisition: 54, time elapsed: 1203.71s
num acquisition: 55, time elapsed: 1219.68s
num acquisition: 56, time elapsed: 1233.20s
num acquisition: 57, time elapsed: 1250.91s
num acquisition: 58, time elapsed: 1457.84s
num acquisition: 59, time elapsed: 1650.15s
(0.40581607162794275, array([ 3.10909503,  7.81007967, -5.4120446 ,  5.64890409,  6.4951864 ,
       -5.38929331, -7.15489153, -6.69311075]))
