% # columns="iteration, evaluation, void, void, void, xmean", seed=1112172, Wed Aug 26 11:01:36 2020, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 11 0 0 0 1.6946080956420486 0.4729183319502236 0.49585840784349067 3.4554600647967812 1.3993608131869801 -0.4020486365312119 -0.05573694334073698 -0.37313868860221916 0.8953111596278668 -0.12377465854037184 0.0031819004364767034 1.6350104367178362 0.3982178641965355 -0.04999950992521446
2 22 0 0 0 1.532810101166998 0.753365976298787 0.44979547557702254 3.346241590659667 1.6682422339721887 -0.4494267462175915 0.08807331048433892 -0.7982779860385191 0.6425054786262192 -0.22587491370854162 -0.4181854165177766 1.822920691307507 -0.002133821965660476 0.7263939722601496
3 33 0 0 0 2.5968470249727917 0.9609065213992335 1.1681502506996222 3.7211739705509825 1.8834021134082997 -0.3694169933695687 0.21273591942731807 -0.7191526003573527 0.2744071202759694 0.046488366076283705 -0.6688571391990862 1.2374415558648693 0.23855307607218773 -0.12223444486237489
4 44 0 0 0 2.4210381615058862 0.22953981422220016 0.9980245964286344 3.426784076887936 1.1935060774055892 0.2853512781014612 -0.41632510553829216 -0.37045941823186807 -0.24609822466656744 -0.05959465529206322 -0.211944916346694 1.2746869359627457 1.63363993936286 -0.04274265762666471
5 55 0 0 0 1.279149272352525 0.22216639021787318 1.1200992872709077 3.9010869419110676 0.7422661867396556 0.6889669021579321 -0.4687977577482188 -0.7311833857482456 -0.3718472355232824 0.1399245303722545 -0.8132750411933141 1.2008756581626654 1.242767119601302 -0.22540134096346065
6 66 0 0 0 1.4494128257689278 -0.04856570799186957 1.411977031255228 4.326739490242824 0.3526889522279229 0.8053020262864078 -0.14757453443222063 -0.5572904339711435 -0.968287234063341 0.4059971856963385 -1.2197878040316377 1.3588714915973288 1.1803665101245218 -0.3972693647152952
7 77 0 0 0 1.1587333995515294 0.06904643284893927 1.790043307424749 4.542274386462456 -0.23767141759105453 1.468780111290632 -0.1809684685386085 -1.184953621043698 -0.37995440227581523 0.7388887857211762 -1.0516323587886927 1.3964121047282159 1.1147175585622369 -0.33570749949507717
8 88 0 0 0 1.5523817505017272 -0.16020642919262962 2.8373419166469334 4.125290009450987 -1.1361139038406758 1.2361923809138735 0.38240722179773 -1.0874937170591534 -1.3863930601824288 1.5524541033019803 -1.2597814018533553 1.7555097172492489 0.4443922967695806 -0.09744490817655599
9 99 0 0 0 1.2421673151131138 1.2105230074248574 3.081507799448375 3.5906483297784977 -1.1466953173677077 1.8573098215973096 0.8419775113323041 -1.1450641135347384 -1.6726934705170353 1.215007028464698 -0.5934374367880444 1.8785765467261941 0.586658238835341 1.0626116346565928
10 110 0 0 0 0.9448366786232008 1.7401437477242416 2.8247264958427625 4.055843563538718 -0.15321463208980024 1.2811075887331222 0.927475039011139 -0.8502611077017661 -0.9616242788635818 1.5672312316554056 -0.46481170837391467 2.9761547278071316 0.43729551603464917 1.0401355368898813
11 121 0 0 0 1.4439435644135696 1.964800157970004 3.193938121051283 4.009157113844378 -0.4475744295585893 0.9797742974640805 1.0043877867086093 -0.9240991262600536 -1.4507814304300688 1.2179005756526178 0.09491818469409358 2.663296901494933 0.27833405360008595 0.35134080019517544
12 132 0 0 0 1.0807191477033826 1.22009038278231 3.0062894756666765 4.778446597794421 -1.2038278291037219 1.3051335219717126 0.9040697801322164 -1.1022088792944207 -1.7623164026647056 1.0620513083086756 -0.4022091405826302 2.947671190154906 -0.14359918088354506 0.7390338407192362
13 143 0 0 0 1.3166725942486766 0.5208102889463921 2.870879084775586 4.774637910312467 -1.0729679594938155 1.5339121576235186 0.7474383558271087 -1.3205512840794897 -1.4072690001832162 1.1122303121479693 -0.8459897658744321 2.947296304341025 -0.25541855714434875 0.6897378129187723
14 154 0 0 0 1.498773578219818 0.1660962508435841 3.3234772151046488 5.066416104035643 -2.0866066089541664 2.236227778566097 0.6400183230813166 -1.95867168657699 -1.6482939773955263 1.5128340310009722 -0.8821304567590625 2.542688816188333 -0.5704350471532545 0.9459130961751084
